,AAL.L,ABF.L,ADM.L,AHT.L,ANTO.L,AZN.L,BARC.L,BDEV.L,BKG.L,BLND.L,BLT.L,BNZL.L,BRBY.L,BT-A.L,CCH.L,CCL.L,CNA.L,CPG.L,CRDA.L,CRH.L,DCC.L,DGE.L,DLG.L,EVR.L,EXPN.L,EZJ.L,FERG.L,FRES.L,GLEN.L,GSK.L,GVC.L,HLMA.L,HSBA.L,IAG.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,ITV.L,JMAT.L,LAND.L,LGEN.L,LLOY.L,LSE.L,MCRO.L,MKS.L,MNDI.L,MRO.L,MRW.L,NMC.L,NXT.L,OCDO.L,PPB.L,PRU.L,PSN.L,PSON.L,RDSA.L,REL.L,RIO.L,RMG.L,RMV.L,RRS.L,RSA.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHP.L,SKG.L,SLA.L,SMDS.L,SMIN.L,SMT.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TUI.L,ULVR.L,VOD.L,WPP.L,WTB.L
2008-11-01,1179.517456,564.220215,724.538513,30.283484,354.162598,1490.97937,126.870155,30.356783,623.126709,259.823975,724.833984,496.530975,163.087097,90.469795,NaN,1069.538696,135.998123,261.096558,379.398743,947.525452,653.995056,672.931763,NaN,NaN,314.134125,244.122208,1207.296509,129.817566,NaN,671.716064,53.97855,144.525238,370.843964,131.871796,636.062134,5.003021,986.574707,126.290535,637.019897,27.881317,761.838257,599.877563,40.412277,94.255295,439.546906,309.272552,140.825256,122.827644,2.671535,165.853241,NaN,815.782715,NaN,1080.757446,246.197556,170.326645,406.527588,1009.473877,390.393585,902.842041,NaN,3.883886,2219.856689,571.802917,31.256413,183.704498,628.428223,132.355713,277.008575,796.389526,147.744614,177.598206,22.812748,613.151123,3.060143,604.220154,580.433228,148.19841,724.80603,229.801804,NaN,1039.168213,76.143532,259.555969,662.533875
2008-12-01,1188.744385,608.391357,670.05072,34.754871,348.83371,1711.729492,114.887009,41.005924,644.575439,273.212189,788.844788,468.032379,175.983231,90.469795,NaN,1201.170288,152.961975,293.280945,437.349426,996.559814,675.673157,712.996094,NaN,NaN,345.088226,248.782501,1525.009155,193.757553,NaN,770.374634,42.442814,164.41777,350.395477,152.787628,677.662354,2.153942,1092.005371,153.008575,667.226868,31.90844,963.849792,584.642456,46.116821,70.691902,368.093811,341.287384,138.465866,150.759888,2.952357,191.671677,NaN,809.976624,NaN,1055.602173,304.051147,181.379105,420.636322,1062.383179,367.493469,836.58905,NaN,3.592978,2725.588379,516.117188,38.740345,212.901871,636.589844,135.462891,308.906464,961.749512,144.903366,156.850128,30.450237,649.477722,3.463046,666.669006,602.109497,133.905334,760.348206,280.151215,NaN,1114.131348,84.820335,289.594635,722.835815
2009-01-01,973.447693,564.099792,661.951233,32.519169,344.324738,1628.79541,79.46228,39.791458,585.406311,224.371216,719.957764,449.786987,203.744736,73.014709,NaN,1010.129211,148.361572,292.641296,421.74411,998.80072,749.088501,700.383301,NaN,NaN,348.882202,265.427612,685.856506,298.639435,NaN,731.391113,58.766983,150.897995,287.541321,102.113487,633.047607,3.954162,1196.797363,148.969284,726.375244,22.075022,867.55426,446.369476,36.989532,50.887054,352.857941,368.4758,148.943481,135.5914,2.254609,185.174301,NaN,881.908081,NaN,848.88446,243.45993,227.957443,436.713715,1018.239929,377.307739,845.567383,NaN,3.439867,2881.838379,492.199097,37.419651,215.818359,564.620972,144.308136,199.782257,960.799194,141.250336,167.319199,32.560612,628.5625,3.177656,654.617554,602.797546,142.932755,708.856567,278.750458,NaN,1079.557129,79.145599,280.960754,646.768677
2009-02-01,769.685059,553.889771,629.553284,28.48959,362.565735,1367.797974,69.951202,48.132599,643.835876,235.725555,674.235657,460.892914,206.966003,63.130909,NaN,1139.877686,155.549652,269.56601,413.534973,895.222534,696.463318,607.641785,NaN,NaN,336.371613,274.08255,709.288025,294.427246,NaN,641.129089,67.473183,130.48967,260.017578,116.652542,583.308228,3.954162,1155.478394,132.193207,705.098938,19.867521,873.793518,355.41275,24.139278,32.709278,318.396912,347.194519,168.286758,91.380829,2.246189,176.625168,NaN,875.913696,NaN,763.995972,204.76915,271.772675,432.776337,909.352722,381.306213,1011.199524,NaN,4.593294,2895.706787,514.622742,41.82196,204.314484,541.249573,136.02121,134.125015,792.112915,109.59079,132.713181,29.425188,610.582581,2.798735,629.418762,456.91507,142.932755,706.907349,259.295502,NaN,965.25116,76.399506,262.973511,588.437256
2009-03-01,911.934509,544.955994,628.448792,32.856606,413.599609,1553.475708,110.842918,49.637344,656.779175,230.704178,867.719421,433.524841,226.897598,54.430393,NaN,1261.665894,130.966461,277.839966,446.127594,1005.951538,740.641846,583.529114,NaN,NaN,352.514282,248.116882,916.398376,385.409027,NaN,661.213196,78.355965,136.261688,239.917419,119.713394,640.282837,2.146023,1082.321899,163.105118,753.60907,15.251835,937.920654,318.530426,25.820618,39.665844,414.630585,367.260101,190.853973,109.509018,2.892629,174.744354,NaN,992.052795,NaN,927.484314,246.015015,272.759491,460.337646,939.648621,364.221954,1359.61145,NaN,5.338429,3416.539551,486.219055,39.180576,202.856216,603.670166,138.209579,142.257584,820.148132,111.417305,135.302261,21.169065,490.961243,3.386302,617.545898,596.26062,125.6306,643.233643,259.451141,NaN,929.971619,74.90416,282.57962,621.149963
2009-03-31,1141.071655,610.895386,670.78717,52.404213,483.694244,1511.644165,210.826477,80.540482,725.193665,275.470032,892.151367,435.111328,326.958038,65.427849,NaN,1492.507813,130.535202,282.194763,457.911865,1258.147705,893.970642,614.120178,NaN,NaN,363.208771,281.628357,1163.150879,450.696991,NaN,637.804749,81.620766,146.981277,296.938629,125.750069,800.175232,2.541968,1013.084961,184.697342,868.926819,25.687302,1074.20459,426.496674,35.007965,62.837151,549.175049,387.933563,218.418228,130.966858,3.19891,168.759979,NaN,1225.080444,NaN,1110.15918,287.078339,301.969635,463.618683,940.844849,366.766449,1604.913696,NaN,6.634758,3030.846191,494.394379,57.8904,214.198074,630.762878,151.523499,150.073639,813.790466,179.607101,143.275452,32.918137,538.295959,3.949886,616.989014,757.053955,128.815765,680.918091,262.408295,NaN,935.616455,76.094604,335.642029,741.360107
2009-04-30,1366.363892,621.956238,632.130432,43.046318,515.667358,1628.899292,222.80957,92.027077,655.669861,247.811081,924.731262,404.966949,308.033081,60.833984,NaN,1268.830566,146.665909,310.936798,453.457977,1043.143066,961.536255,636.781433,NaN,NaN,367.042664,277.855865,985.736572,566.109192,NaN,642.126709,79.099319,135.437149,343.904999,132.211899,808.213989,2.300299,1033.986816,150.212433,891.905457,31.105715,1074.20459,369.061768,37.686531,39.104492,505.548492,480.660431,182.79425,164.977295,5.031994,165.511276,NaN,1090.208984,NaN,1398.189209,322.155243,287.364532,442.374878,992.881409,373.636047,1619.957275,NaN,7.201265,4076.668945,472.914917,70.216888,201.073975,659.381897,155.199448,166.118774,818.096313,328.772369,155.977249,30.907438,538.305115,4.029027,648.729492,898.018005,125.953278,727.698669,290.981689,NaN,1023.10968,70.785645,330.42572,680.663879
2009-05-31,1355.983643,648.757324,649.477295,47.205383,484.42804,1692.597656,211.950211,82.044388,594.651367,244.293823,854.559998,409.226227,340.648346,70.648163,NaN,1279.178345,132.953232,297.654724,459.528687,1036.76709,986.929138,658.309692,NaN,NaN,366.63913,239.905441,1098.637939,442.452393,NaN,658.457336,79.099319,164.091232,313.169739,106.024574,770.493713,1.916375,1033.333618,138.308563,887.650085,28.095482,1025.213745,357.309723,35.434078,40.21426,515.0802,455.427002,204.037994,157.738129,4.326514,165.194824,NaN,1128.980957,NaN,1332.025024,313.622528,276.312042,412.589905,924.61908,339.158051,1474.2229,NaN,9.151371,3638.12793,452.943237,78.801384,208.645233,626.183777,147.310196,152.014908,799.43811,312.536682,146.825775,28.154966,523.020996,3.774816,634.251282,815.730957,150.952866,710.805664,281.970795,NaN,1032.182495,71.517807,290.134277,662.350952
2009-06-30,1484.008179,683.700378,714.051819,51.78035,624.190735,1776.577881,226.404495,111.990784,610.922913,278.187897,979.23761,421.849121,370.445007,88.153595,NaN,1388.231079,131.31369,280.888672,497.781311,1079.47168,1015.801025,708.542175,NaN,NaN,405.88916,268.312286,1270.361206,531.368286,NaN,708.065002,86.290169,157.494629,377.517456,119.883438,839.750854,2.1678,1079.571045,151.412704,895.638916,32.309803,1285.919312,410.377991,40.21352,48.880825,522.045959,490.693756,230.542923,201.935287,5.419777,188.245285,NaN,1310.355957,NaN,1381.241699,339.978973,355.455719,469.452118,957.510803,317.234528,1743.154419,NaN,10.869694,3370.182129,477.059784,85.404846,211.644958,746.002014,161.619629,173.014633,849.672119,331.207733,160.553268,31.753593,536.814026,4.235276,616.432129,1016.801819,138.548126,652.349731,293.055023,NaN,1145.259033,78.154762,339.930023,702.099915
2009-07-31,1553.979492,687.565491,798.03595,67.792747,632.02417,1800.028809,284.784454,134.444336,700.046692,315.590454,1019.959473,478.448547,397.498474,96.332077,NaN,1513.999146,150.183487,287.636475,522.229614,1304.11438,1333.319458,720.628174,NaN,NaN,425.197662,283.892181,1374.718018,530.517578,NaN,750.308594,92.282539,166.154099,418.868286,162.820419,946.729614,3.143805,1114.652222,179.611679,1042.182495,39.116943,1285.919312,474.547882,48.044083,64.028099,606.024231,459.682861,226.575562,223.729034,7.5714,193.484009,NaN,1260.400513,NaN,1578.906128,407.292145,388.57373,509.052643,1042.176147,335.035736,1690.278564,NaN,13.928824,3358.129395,492.13269,96.410622,217.111053,824.990417,182.545563,225.420547,978.845093,450.539856,149.586639,38.485847,597.951294,5.102285,623.114197,998.908752,175.800095,659.422302,299.753418,NaN,1217.743408,84.58831,382.444244,849.334106
