,0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0019.HK,0027.HK,0066.HK,0083.HK,0101.HK,0151.HK,0175.HK,0267.HK,0288.HK,0386.HK,0388.HK,0688.HK,0700.HK,0762.HK,0823.HK,0836.HK,0857.HK,0883.HK,0939.HK,0941.HK,1038.HK,1044.HK,1088.HK,1093.HK,1109.HK,1113.HK,1177.HK,1299.HK,1398.HK,1928.HK,1997.HK,2003.HK,2018.HK,2313.HK,2318.HK,2319.HK,2382.HK,2388.HK,2628.HK,3328.HK,3988.HK
2008-10-31,35.335506,36.423325,4.252132,55.638031,29.232395,61.432858,10.133698,44.546585,3.38215,36.743824,0.64,13.03649,3.401078,12.263211,2.83505,0.438322,3.996778,NaN,2.455034,46.410221,7.704323,7.786124,8.226155,9.412215,10.63562,4.773197,4.218496,2.483372,49.323467,21.126509,17.269186,9.764134,1.644515,7.122867,NaN,0.152356,NaN,2.325706,NaN,NaN,NaN,1.964036,0.886621,12.32905,3.410068,0.434477,5.928124,17.068504,2.822646,1.341046
2008-11-30,35.480709,34.833939,3.605066,49.102596,29.232395,63.938675,11.606741,48.501251,4.584846,37.697742,1.06,13.596708,5.007168,12.366014,2.889051,0.569366,6.416284,NaN,2.235747,55.996605,8.366561,9.160147,8.002432,8.400373,10.223878,5.071988,4.886704,2.652457,53.971386,20.527925,18.574617,11.043572,2.171398,7.577517,NaN,0.156833,NaN,2.497075,NaN,NaN,NaN,2.824317,1.03439,15.806475,4.510956,0.425958,5.835081,20.15864,3.106023,1.160416
2008-12-31,35.287148,35.267326,3.925515,40.507977,30.710819,59.600674,12.193153,52.555538,4.363186,36.037212,1.28,14.232637,4.744946,13.070968,2.790049,0.524178,7.067101,NaN,2.025998,51.73597,8.056095,8.867023,6.298688,9.647253,9.949432,4.347419,4.589724,2.402816,48.907238,20.563135,19.395142,11.447608,1.907957,7.298347,NaN,0.192857,NaN,2.050298,NaN,NaN,NaN,2.045195,1.049168,14.457654,4.654161,0.417439,5.33664,17.804659,2.878214,1.13305
2009-01-31,30.906507,38.476479,3.635878,37.942917,32.256439,54.696812,10.59569,45.798397,4.112362,34.058693,1.25,13.157617,3.802198,11.000173,2.763048,0.569366,6.209554,NaN,1.930654,47.5895,8.025069,8.234972,6.04915,9.752309,10.018044,4.130795,4.589724,2.465227,47.172928,20.809605,21.036343,10.370185,2.211313,6.740004,NaN,0.171077,NaN,1.946251,NaN,NaN,NaN,2.524029,1.115664,15.722179,4.3409,0.434477,5.197077,18.660652,2.617059,1.187786
2009-02-28,32.310204,35.601608,3.765291,28.415543,30.912424,49.069954,11.930289,52.105064,4.509017,36.531834,1.2,14.111509,4.838595,13.364695,3.240057,0.614554,6.707238,NaN,2.364456,55.692272,9.437599,10.515847,7.124746,10.067276,11.143363,4.616331,5.183686,2.746071,46.826073,21.830721,23.236904,11.757364,2.474755,9.571603,NaN,0.185074,NaN,2.466476,NaN,NaN,NaN,2.962286,1.470312,19.494654,4.851068,0.528188,5.27018,21.999025,2.989341,1.40673
2009-03-31,39.062656,35.033321,4.467821,36.566029,30.778023,56.64069,14.761191,61.332546,5.984798,42.997334,1.87,14.913992,6.243353,16.323771,3.501062,0.948944,8.743911,NaN,2.898367,68.778412,10.617261,12.641003,7.632427,9.936056,12.007929,5.124278,5.865393,2.820964,46.687328,21.161716,24.206642,14.646207,3.105418,11.198774,NaN,0.217737,NaN,2.729646,NaN,NaN,NaN,3.424889,1.884068,20.443045,6.220466,0.596341,7.35034,23.411417,3.506087,1.587361
2009-04-30,46.371819,35.48209,4.825245,45.749268,28.022783,72.599518,19.219368,73.295242,8.634145,54.762424,2.43,18.931013,9.089009,19.396046,3.441345,1.355634,13.628861,NaN,2.96511,92.744858,12.681746,15.828734,8.174526,9.975404,11.335505,6.640646,6.884584,3.145505,52.514565,20.175814,26.332672,17.339756,3.520539,14.357403,NaN,0.287724,NaN,2.986702,NaN,NaN,NaN,5.177914,2.290436,22.655949,7.330304,0.775243,8.201014,24.393126,3.967263,1.904834
2009-05-31,44.555496,34.971802,5.217592,43.897224,29.94754,72.077171,18.254303,73.523109,8.29115,56.490158,2.04,17.928558,8.115637,18.98888,3.956191,1.28021,12.265975,NaN,2.817327,93.676208,14.039949,16.856211,9.019583,10.85486,12.105723,6.543046,6.618867,3.750889,54.883884,19.697683,27.402571,19.640631,3.3334,13.784142,NaN,0.282453,NaN,3.424954,NaN,NaN,NaN,5.11597,2.739248,22.107996,8.08213,0.777898,9.025104,24.608992,4.91101,2.01978
2009-06-30,50.056175,36.217091,5.550491,51.553314,29.70435,83.252449,21.026327,89.549324,10.940583,62.883251,2.36,21.668495,9.999182,21.024723,4.172969,1.728284,16.921225,NaN,3.392884,113.466949,14.913566,19.493196,10.004807,11.85156,14.078871,7.007146,7.176753,3.960521,57.57151,20.458073,34.045593,21.773239,3.692639,15.196255,NaN,0.33512,NaN,3.539121,NaN,NaN,NaN,6.202181,4.827041,28.999617,8.305888,0.795379,10.978992,29.660313,5.391374,2.191865
2009-07-31,45.980648,35.667313,5.371242,54.963467,30.08651,72.804581,18.706028,79.675362,9.249175,58.404469,2.29,20.087694,8.368504,17.878416,3.721349,1.709995,15.849294,NaN,3.154013,104.774536,12.292788,21.48724,9.754238,11.487949,13.285398,6.512612,7.011455,3.707043,53.327915,20.421864,32.384842,21.498066,3.533906,13.013899,NaN,0.32641,NaN,3.355188,NaN,NaN,NaN,5.323262,5.611927,24.447351,8.216386,0.795379,10.327693,28.23558,5.165319,2.140755
