,AAV.TO,ABX.TO,AC.TO,ACB.TO,ACO-X.TO,AD.TO,AEM.TO,AGI.TO,AIF.TO,ALA.TO,AP-UN.TO,APH.TO,AQN.TO,ARE.TO,ARX.TO,ASR.TO,ATA.TO,ATD-B.TO,AX-UN.TO,BAD.TO,BAM-A.TO,BB.TO,BBD-B.TO,BBU-UN.TO,BCB.TO,BCE.TO,BEI-UN.TO,BEP-UN.TO,BIP-UN.TO,BIR.TO,BLX.TO,BMO.TO,BNS.TO,BPY-UN.TO,BTE.TO,BTO.TO,BYD-UN.TO,CAE.TO,CAR-UN.TO,CAS.TO,CCA.TO,CCL-B.TO,CCO.TO,CEU.TO,CFP.TO,CG.TO,CGX.TO,CHE-UN.TO,CHP-UN.TO,CHR.TO,CIGI.TO,CIX.TO,CJR-B.TO,CLS.TO,CM.TO,CMG.TO,CNQ.TO,CNR.TO,CP.TO,CPG.TO,CPX.TO,CRR-UN.TO,CSH-UN.TO,CSU.TO,CTC-A.TO,CU.TO,CUF-UN.TO,CVE.TO,CWB.TO,D-UN.TO,DGC.TO,DII-B.TO,DOL.TO,DOO.TO,DRG-UN.TO,DSG.TO,ECA.TO,ECI.TO,ECN.TO,EDV.TO,EFN.TO,EFX.TO,EIF.TO,ELD.TO,EMA.TO,EMP-A.TO,ENB.TO,ENF.TO,ENGH.TO,ERF.TO,ESI.TO,EXE.TO,FCR.TO,FFH.TO,FM.TO,FNV.TO,FR.TO,FRU.TO,FSV.TO,FTS.TO,FTT.TO,FVI.TO,G.TO,GC.TO,GEI.TO,GIB-A.TO,GIL.TO,GOOS.TO,GRT-UN.TO,GTE.TO,GUD.TO,GUY.TO,GWO.TO,H.TO,HBC.TO,HBM.TO,HCG.TO,HR-UN.TO,HSE.TO,IAG.TO,IFC.TO,IFP.TO,IGM.TO,IMG.TO,IMO.TO,INE.TO,IPL.TO,ITP.TO,IVN.TO,K.TO,KEL.TO,KEY.TO,KL.TO,KML.TO,KMP-UN.TO,KXS.TO,L.TO,LB.TO,LIF.TO,LNR.TO,LUC.TO,LUN.TO,MAG.TO,MAXR.TO,MEG.TO,MFC.TO,MFI.TO,MG.TO,MIC.TO,MNW.TO,MRE.TO,MRU.TO,MSI.TO,MTL.TO,MX.TO,NA.TO,NFI.TO,NG.TO,NGD.TO,NPI.TO,NSU.TO,NTR.TO,NVA.TO,NVU-UN.TO,NWC.TO,NXE.TO,OGC.TO,ONEX.TO,OR.TO,OSB.TO,OTEX.TO,PAAS.TO,PBH.TO,PD.TO,PEY.TO,PKI.TO,POU.TO,POW.TO,PPL.TO,PSI.TO,PSK.TO,PVG.TO,PWF.TO,PXT.TO,QBR-B.TO,QSR.TO,RBA.TO,RCI-B.TO,REI-UN.TO,RNW.TO,RUS.TO,RY.TO,SAP.TO,SCL.TO,SES.TO,SHOP.TO,SIA.TO,SJ.TO,SJR-B.TO,SLF.TO,SMF.TO,SNC.TO,SPB.TO,SRU-UN.TO,SSL.TO,SSRM.TO,STN.TO,SU.TO,SW.TO,T.TO,TA.TO,TCL-A.TO,TCN.TO,TCW.TO,TD.TO,TECK-B.TO,TFII.TO,THO.TO,TIH.TO,TOG.TO,TOU.TO,TOY.TO,TRI.TO,TRP.TO,TRQ.TO,TSGI.TO,TXG.TO,UNS.TO,VET.TO,VII.TO,WCN.TO,WCP.TO,WEED.TO,WEF.TO,WFT.TO,WJA.TO,WN.TO,WPK.TO,WPM.TO,WSP.TO,WTE.TO,X.TO,YRI.TO,ZZZ.TO
2008-11-01,NaN,32.815044,2.15,NaN,13.216022,NaN,43.706459,5.686244,5.59092,8.428505,7.414661,NaN,1.578883,7.236475,12.15835,0.959007,5.0,5.015616,2.437124,2.042279,9.763188,54.5,3.736777,NaN,0.939337,14.811493,17.199924,9.631759,NaN,5.055425,6.75749,23.475035,24.144358,NaN,11.891404,0.41,1.729959,5.211007,8.083682,2.822909,25.400278,2.373281,18.503424,0.065722,7.29,2.191917,NaN,4.301988,NaN,NaN,10.16335,9.565784,7.31007,6.9,29.861843,0.730672,21.355259,17.285707,35.617828,14.185343,NaN,3.303873,2.445147,21.326464,37.712795,12.967513,7.613421,NaN,12.064103,5.437452,4.96,20.236511,NaN,NaN,NaN,3.3,25.245987,3.704545,NaN,18.802216,NaN,NaN,3.963387,7.172068,13.675423,10.864867,11.882864,4.899444,3.472647,16.201738,9.600962,NaN,6.55067,281.261078,3.258781,14.867233,1.66,6.414213,NaN,17.976864,9.879902,0.63,31.301823,3.7,NaN,9.77,9.351359,NaN,9.347247,3.33,NaN,1.0,17.738426,NaN,NaN,3.681929,6.86397,4.350449,22.87855,21.565666,24.345837,1.4,19.207035,5.431506,39.165253,2.611657,3.829489,1.715847,NaN,18.215815,NaN,3.480216,0.062791,NaN,NaN,NaN,20.892395,23.761749,6.268017,3.872205,0.434731,1.177312,5.91,15.954785,NaN,16.463846,7.973545,6.497165,NaN,NaN,2.695512,8.096733,4.970807,7.003912,10.53911,10.517972,NaN,0.73,1.35,5.495882,0.5178,NaN,7.947308,9.431356,10.288136,NaN,0.200699,17.187067,NaN,4.352441,7.704996,16.375517,4.317421,8.938942,5.42369,3.071799,7.863125,16.333572,8.040638,8.671701,NaN,NaN,15.68724,NaN,6.924578,NaN,22.888899,24.704144,8.311465,NaN,7.339611,28.820921,8.586773,15.338265,NaN,NaN,NaN,3.111449,13.936769,17.207058,1.114146,28.737976,4.388697,5.598824,1.8,13.23,10.079771,22.950872,10.42,10.250414,12.99381,6.804691,NaN,7.398192,13.022836,5.021242,3.313565,NaN,11.645287,23.728228,NaN,NaN,22.869839,20.933437,3.24,NaN,NaN,6.951827,15.103636,NaN,10.625917,1.905766,NaN,0.312851,12.996748,7.832732,44.678535,5.675004,3.943166,NaN,6.414872,17.442814,6.682618,NaN
2008-12-01,NaN,39.349209,1.77,NaN,13.684164,NaN,56.461296,8.156495,4.031912,8.804267,7.516562,NaN,1.447493,8.423409,12.286803,1.39741,5.0,4.246188,3.167842,2.073717,9.487045,49.5,3.831486,NaN,1.351943,14.918348,17.082388,9.268308,NaN,4.47893,6.377381,19.305119,21.736443,NaN,9.495368,0.46,1.972039,6.647115,9.457061,2.667803,28.249725,2.43164,17.584522,0.062788,7.6,3.861948,NaN,3.816103,NaN,NaN,9.033468,9.532909,7.45448,5.65,30.586231,0.77719,20.020554,17.174482,35.862865,12.657754,NaN,3.814506,2.88968,21.957481,36.413807,12.825782,7.242712,NaN,9.482768,5.690125,8.48,21.160084,NaN,NaN,NaN,3.56,23.966852,4.224515,NaN,17.039772,NaN,NaN,4.017676,9.240381,14.320488,11.2671,12.540788,5.34441,3.937923,12.988894,8.693471,NaN,6.805379,304.699554,3.135908,18.77594,2.17,4.867566,NaN,16.684601,10.925572,0.69,34.353577,3.61,NaN,9.6,6.318848,NaN,7.761251,3.29,NaN,1.9,13.113766,NaN,NaN,2.866846,7.640772,4.161654,22.392847,17.495481,23.825758,1.7,20.633013,7.008396,36.279842,1.891296,3.792205,0.925878,NaN,21.57136,NaN,3.825876,0.062791,NaN,NaN,NaN,22.831474,21.573168,5.936659,3.311702,0.434731,1.157852,5.47,18.639565,NaN,14.432529,9.646683,6.832245,NaN,NaN,2.122598,8.683454,4.725792,8.233348,10.695244,7.980907,NaN,1.77,1.77,6.088596,0.768609,NaN,8.467318,8.425817,10.0213,NaN,0.143357,17.563644,NaN,4.989648,7.987885,18.497288,4.358084,9.079363,5.386992,3.208448,6.430913,14.366371,8.152798,10.325205,NaN,NaN,14.702941,NaN,7.568319,NaN,21.643063,25.377771,7.733979,NaN,8.020259,24.095306,8.276904,15.579553,NaN,NaN,NaN,3.044616,13.731754,17.952032,1.162587,32.891815,4.823592,6.203304,1.8,19.450001,13.156064,19.034777,7.07,9.714631,14.128165,6.770669,NaN,7.138135,12.300912,5.03798,2.925809,NaN,11.387713,21.195656,NaN,NaN,25.907419,21.234308,3.27,NaN,NaN,8.2808,14.402402,NaN,11.353948,1.524614,NaN,0.164658,14.029075,11.170155,48.567142,6.371482,7.302158,NaN,5.523119,17.856457,8.456166,NaN
2009-01-01,NaN,40.607746,2.3,NaN,13.869082,NaN,58.91692,7.345507,4.22499,8.586233,7.627425,NaN,1.827397,7.892984,10.162697,1.753613,4.52,4.357932,2.933873,1.864629,9.84506,67.779999,3.271832,NaN,0.807654,15.14685,17.971079,9.276299,NaN,4.124163,6.673021,20.540655,19.36116,NaN,9.39906,0.83,2.377437,6.080351,8.28812,2.524934,28.257904,2.192583,17.044151,0.066995,7.25,4.540399,NaN,4.253026,NaN,NaN,7.756692,9.828762,7.009147,5.37,28.425854,0.822573,18.113234,16.657087,32.776443,12.841092,NaN,3.675945,3.008554,21.531116,34.276745,12.591436,7.305334,NaN,9.229046,5.479068,8.88,16.686241,NaN,NaN,NaN,3.32,23.116261,4.367206,NaN,15.875539,NaN,NaN,4.085619,9.192505,14.030212,11.995273,12.756353,5.249523,4.462978,14.181656,6.874136,NaN,6.093349,311.652924,3.883825,22.619858,2.63,4.58517,NaN,16.528547,9.652839,0.92,32.517311,4.2,NaN,9.93,5.851279,NaN,6.613938,3.41,NaN,2.96,11.850173,NaN,NaN,4.590701,7.158401,4.631562,22.080936,14.808485,25.125521,1.65,19.224007,7.813772,34.564568,1.919056,4.049296,0.71352,NaN,20.833143,NaN,3.823791,0.083721,NaN,NaN,NaN,22.804888,18.372095,6.592794,3.714477,0.617319,0.875686,7.61,17.604984,NaN,14.127229,9.537667,6.382341,NaN,NaN,2.582808,9.19977,4.303889,7.195842,7.489342,9.080193,NaN,4.28,2.6,5.893683,1.067962,NaN,6.917102,8.564586,9.757836,NaN,0.391841,16.404959,NaN,4.633244,9.35699,19.71224,4.601656,5.698439,5.475206,3.80568,6.627491,13.756109,7.690883,9.00723,NaN,NaN,14.150624,NaN,3.500294,NaN,18.791386,23.983698,8.301703,NaN,7.855633,20.297459,7.494951,12.355314,NaN,NaN,NaN,3.01677,12.678431,15.755365,1.840763,28.673653,5.439946,6.520037,2.6,24.780001,11.646279,18.999117,7.0,9.321538,13.000237,6.22983,NaN,6.132616,11.26758,3.966781,3.048406,NaN,10.559953,15.662965,NaN,NaN,21.832096,21.344973,3.38,NaN,NaN,10.268604,14.94593,NaN,8.747414,1.524614,NaN,0.148192,13.341867,11.025417,53.23275,6.043644,7.320414,NaN,5.468019,22.733484,8.905573,NaN
2009-02-01,NaN,33.839806,0.91,NaN,13.668346,NaN,57.522705,7.923454,3.738915,7.140285,7.913596,NaN,1.624397,7.007431,8.657535,2.25595,3.48,4.09933,2.850737,1.425414,8.709235,50.84,2.561817,NaN,0.895443,14.977946,17.257082,9.261865,NaN,4.133033,6.613893,17.476545,19.014418,NaN,7.768103,0.65,2.115457,5.606119,8.365545,2.038768,25.816988,2.139569,15.66151,0.06157,5.59,3.992421,NaN,2.431985,NaN,NaN,6.253935,8.59934,7.101335,4.0,26.304434,1.037009,16.879276,15.839155,31.702105,12.630638,NaN,3.401154,2.739169,20.686932,32.926426,13.079129,6.087836,NaN,8.610166,6.442394,10.63,14.94809,NaN,NaN,NaN,2.94,21.2651,3.290698,NaN,16.0,NaN,NaN,4.343054,10.274536,13.295339,11.7869,12.077956,5.561744,4.37547,12.018735,6.688709,NaN,5.595106,251.564926,5.979774,23.997496,1.96,3.820306,NaN,16.291061,8.648452,1.04,33.106655,3.01,NaN,9.3,4.212564,NaN,5.061687,2.97,NaN,2.89,10.216772,NaN,NaN,5.246515,6.521673,4.150603,19.730667,12.661895,24.889498,1.32,16.538563,9.581174,35.265602,1.861651,3.992501,0.450197,NaN,19.289589,NaN,3.521764,0.125581,NaN,NaN,NaN,20.466593,20.154322,7.27776,2.989483,0.434731,0.739468,5.88,17.468178,NaN,8.950948,7.061375,6.068151,NaN,NaN,2.207127,8.96508,5.083773,5.663802,7.386641,10.051366,NaN,3.72,2.43,5.301604,1.17314,NaN,5.484624,8.335173,9.915025,NaN,0.563869,15.325554,NaN,4.490683,8.737222,16.340294,4.115511,3.394782,3.917405,4.012461,5.822457,11.830907,7.886709,7.551817,NaN,NaN,11.743206,NaN,7.491483,NaN,15.964437,20.751657,7.302956,NaN,4.845925,20.964205,8.099991,15.486462,NaN,NaN,NaN,2.597206,12.023023,12.567686,1.714816,24.065981,4.777531,5.779278,2.5,19.35,8.923434,21.383101,5.0,9.096277,12.250224,5.11148,NaN,6.277126,10.891099,3.740825,2.576629,NaN,10.215932,12.468028,NaN,NaN,22.952814,19.998774,5.65,NaN,NaN,8.207587,14.218709,NaN,10.214371,1.524614,NaN,0.156425,12.114414,10.812572,49.288967,5.66376,7.922843,NaN,4.854384,21.918283,9.962772,NaN
2009-03-01,NaN,35.916836,0.89,NaN,13.139132,NaN,65.186401,8.454792,3.64259,7.551582,7.983853,NaN,1.547645,7.715873,8.861127,2.730887,3.59,3.805606,2.864807,1.691052,9.075986,54.490002,2.544508,NaN,1.106135,15.152885,17.680866,9.355438,NaN,5.410193,4.620433,20.826271,20.577433,NaN,10.14384,0.61,2.286243,6.461433,7.656936,1.772159,25.874481,2.090557,18.058083,0.070173,4.8,3.905438,NaN,2.277552,NaN,NaN,5.85848,9.197618,7.359178,4.45,27.968655,1.123572,20.184965,17.521538,33.040634,14.283257,NaN,3.371666,2.219421,24.302448,36.893764,11.852467,6.376853,NaN,8.045436,6.0581,11.09,14.566157,NaN,NaN,NaN,3.6,21.858143,3.11369,NaN,15.0,NaN,NaN,4.217734,10.916098,12.414639,12.392545,11.730267,5.402717,4.397457,11.677136,7.231753,NaN,5.528669,265.525421,6.321678,24.193035,2.08,4.33833,NaN,15.188594,9.660505,1.01,38.031143,2.62,NaN,10.18,4.56881,NaN,5.122429,3.22,NaN,2.94,11.553111,NaN,NaN,5.536947,9.782414,4.446773,19.617556,15.097469,27.409666,1.79,17.987743,10.120695,40.748119,1.880965,4.105019,0.41622,NaN,21.964437,NaN,3.528795,0.104651,NaN,NaN,NaN,20.591394,16.811068,7.791483,2.345043,0.391258,1.945969,5.63,21.281593,NaN,10.052185,7.122626,6.235468,NaN,NaN,2.68612,8.992284,4.503331,6.061706,7.781651,10.682889,NaN,3.53,2.44,5.404783,1.100324,NaN,5.916329,9.172377,9.135123,NaN,0.602097,14.967798,NaN,4.847086,9.408815,19.606596,4.73591,3.109584,4.452592,3.858466,5.6446,12.780493,7.687756,7.069158,NaN,NaN,12.868752,NaN,7.546974,NaN,19.666456,20.148245,7.291455,NaN,4.339382,24.93737,7.918483,16.391949,NaN,NaN,NaN,3.473461,12.332287,14.692223,1.96671,26.560417,4.223519,5.653446,2.5,20.52,9.948862,22.740753,4.55,9.300086,10.883185,3.945102,NaN,5.816502,12.659199,5.899959,2.467757,NaN,11.696721,12.779728,NaN,NaN,23.578669,19.306257,7.78,NaN,NaN,9.214383,15.759819,NaN,10.170905,1.524614,NaN,0.115261,9.935243,10.029301,47.667477,5.801899,9.447165,NaN,5.443716,25.633064,10.545134,NaN
2009-04-01,NaN,30.407412,0.83,NaN,12.704078,NaN,47.59317,7.224325,4.148646,7.920618,8.112322,NaN,1.994318,8.790037,9.782914,2.347284,4.1,4.290888,2.813534,1.736678,9.442735,82.43,3.27151,NaN,2.106925,15.62902,18.70962,9.346104,NaN,5.294894,5.287735,24.935955,22.478214,NaN,11.16836,0.68,2.418891,6.463768,7.496514,2.91769,24.02631,2.38296,23.021635,0.087459,5.13,5.784225,NaN,2.398124,NaN,NaN,6.666344,10.442036,8.617579,7.18,33.258564,1.311846,22.806528,18.946444,37.838749,15.370622,NaN,3.562059,2.396571,27.704195,42.537319,11.126802,6.204929,NaN,10.442776,6.45988,11.56,17.286396,NaN,NaN,NaN,3.88,23.35718,3.63248,NaN,14.299999,NaN,NaN,4.654608,9.077598,12.89087,11.653621,11.891619,5.961419,5.276947,12.909436,9.180445,NaN,5.777819,257.054657,8.218181,22.56653,1.79,5.766919,NaN,15.195452,11.009938,0.84,29.243286,3.77,NaN,10.58,6.082837,NaN,5.225702,2.93,NaN,2.75,13.366648,NaN,NaN,7.504391,10.77671,5.460099,21.201624,18.211372,26.580933,2.5,21.380545,8.846308,37.945576,1.554192,4.467864,0.53514,NaN,17.661522,NaN,3.573932,0.083721,NaN,NaN,NaN,21.260082,18.431341,7.843958,3.888687,0.434731,2.111377,5.94,26.505802,NaN,14.38453,7.403791,7.834327,NaN,NaN,3.944652,8.778749,4.815591,8.081333,11.05056,11.909281,NaN,3.25,2.15,5.158513,1.148868,NaN,7.760889,9.456869,10.093585,NaN,0.72634,18.62273,NaN,9.266487,8.486722,17.308741,5.571347,5.216372,5.253909,4.681491,5.307609,14.725717,7.462985,7.536967,NaN,NaN,14.926002,NaN,3.322588,NaN,21.784512,20.553207,8.020605,NaN,5.419839,28.680004,8.359393,18.514362,NaN,NaN,NaN,3.527299,11.914056,17.947155,1.782633,28.935749,5.041462,6.102273,2.6,20.01,11.40192,24.314066,6.76,8.058458,12.116026,4.871343,NaN,8.300256,13.719464,10.486026,3.423249,NaN,12.320786,14.72786,NaN,NaN,24.609402,19.508871,7.66,NaN,NaN,10.214266,15.926476,NaN,10.996755,1.524614,NaN,0.148192,12.139738,9.876052,48.547966,6.071667,8.351844,NaN,6.394646,23.008814,8.393136,NaN
2009-05-01,NaN,36.409691,1.36,NaN,13.247746,NaN,60.892193,9.088666,4.904053,8.803649,9.353601,NaN,1.903939,9.138538,11.048334,2.977489,4.42,4.281309,3.820562,1.928175,9.944591,85.529999,3.189743,NaN,5.618466,15.285922,21.558878,9.46905,NaN,5.587577,5.955038,28.144146,25.672682,NaN,13.328063,0.84,2.56141,6.12357,7.892688,3.677089,22.266258,2.259721,25.214569,0.12145,5.61,6.3496,NaN,3.27618,NaN,NaN,7.988312,11.971759,8.619698,7.15,33.873207,1.761275,26.828051,18.4555,39.345215,17.55574,NaN,4.144123,2.970522,28.01355,40.942108,11.410617,7.087451,NaN,11.264118,7.353182,13.57,17.172422,NaN,NaN,NaN,4.3,25.624992,3.082715,NaN,17.4,NaN,NaN,4.790019,10.360718,12.990463,11.243524,12.488618,6.324313,6.244387,14.697056,11.089975,NaN,6.33844,229.712051,8.661588,26.974964,2.72,6.606762,NaN,16.464596,11.466748,1.01,38.699024,5.25,NaN,10.15,8.05998,NaN,6.20337,3.3,NaN,4.35,14.5474,NaN,NaN,7.513761,12.706572,6.044952,24.575104,19.962467,26.604004,2.57,22.901276,11.422991,39.484749,1.922244,4.926445,1.104258,NaN,21.042084,NaN,4.249018,0.125581,NaN,NaN,NaN,23.753107,20.312874,8.352366,6.981549,0.391258,2.55895,6.21,23.769718,NaN,16.635658,7.403791,6.922204,NaN,NaN,4.573918,9.10855,4.973098,9.032866,10.503663,13.961007,NaN,5.65,3.29,5.211176,1.254046,NaN,10.400181,9.120595,9.797259,NaN,1.108624,20.580175,NaN,11.404908,8.335559,22.520731,5.216749,5.878769,6.391601,5.122844,6.7211,16.791677,7.845534,6.980048,NaN,NaN,16.371862,NaN,8.522223,NaN,20.485546,22.72629,8.728665,NaN,6.213832,29.989685,8.282701,17.36783,NaN,NaN,NaN,4.64158,12.21576,18.468201,2.422056,32.616203,5.568067,7.822989,2.0,25.879999,12.388082,30.969461,7.08,8.943093,11.79749,5.390276,NaN,8.751847,16.663145,14.352386,4.392797,NaN,11.442168,14.883718,NaN,NaN,24.484516,21.212135,5.9,NaN,NaN,10.306282,19.186314,NaN,13.006317,1.829536,NaN,0.214056,13.090199,10.13998,50.61348,5.30837,10.487723,NaN,7.137046,23.467693,11.51366,NaN
2009-06-01,NaN,34.623985,1.42,NaN,14.553295,NaN,55.280251,8.911555,4.579667,8.816936,9.3911,NaN,2.245074,8.937181,11.396027,2.603019,4.37,4.377089,3.754503,1.736201,10.399267,82.68,3.025973,NaN,5.750147,14.703897,22.605637,9.666923,NaN,5.365847,6.75749,31.498312,29.196129,NaN,13.439684,0.74,2.641275,5.868422,8.35462,3.730738,23.354828,2.378818,25.071735,0.149813,5.0,4.609982,NaN,3.572692,NaN,NaN,7.626757,12.803556,8.101,7.88,36.201363,1.815935,25.36869,19.625912,41.099812,19.047247,NaN,4.26204,3.14023,28.357271,46.525127,12.486197,7.363616,NaN,13.250979,7.489785,10.34,20.537888,NaN,NaN,NaN,4.45,24.629894,3.09016,NaN,14.0,NaN,NaN,5.000047,10.035149,14.358226,9.995818,13.286066,6.219881,5.294317,14.470869,11.350367,NaN,6.353695,237.832535,10.016742,24.850739,2.38,6.933728,NaN,17.633411,13.103744,0.91,36.274113,4.62,NaN,10.34,7.672566,NaN,6.308392,4.05,NaN,3.71,15.071543,NaN,NaN,7.195221,11.926845,6.483937,24.074343,19.803234,26.188677,2.35,24.734596,10.957886,40.14312,2.105877,4.955637,0.891901,NaN,20.360209,NaN,4.771589,0.188372,NaN,NaN,NaN,22.97941,22.450403,9.22392,9.80479,0.391258,3.259499,5.3,22.658186,NaN,14.466644,7.685169,9.436759,NaN,NaN,6.057858,9.123413,4.96702,8.396276,11.348137,14.664926,NaN,4.98,3.08,5.409843,1.116506,NaN,10.056779,10.179523,9.291037,NaN,0.984382,19.369568,NaN,9.622892,9.177752,18.990311,5.818544,5.142772,5.560525,4.99895,5.616518,17.715748,8.39902,6.957771,NaN,NaN,17.579885,NaN,8.20341,NaN,22.657362,21.159595,9.102303,NaN,6.609153,32.645519,9.306533,17.156109,NaN,NaN,NaN,4.363548,12.70134,20.470324,2.044215,35.818241,4.987222,7.517356,2.35,22.17,12.213537,28.637638,6.64,8.52842,13.349035,6.204034,NaN,9.0499,18.008781,15.524007,4.400254,NaN,11.974362,12.623882,NaN,NaN,25.067745,20.517721,6.45,NaN,NaN,9.087931,17.467419,NaN,14.960061,1.524614,NaN,0.205823,10.558643,8.769253,47.818466,5.828801,8.817355,NaN,7.199435,24.554155,9.271905,NaN
2009-07-01,NaN,33.270863,1.87,NaN,14.435722,NaN,57.012554,9.032736,5.388009,9.07685,9.969451,NaN,2.549132,7.84695,11.269284,2.466018,4.65,5.203975,3.820469,1.992767,11.825835,81.82,3.350498,NaN,5.249753,15.388121,22.9552,10.462019,NaN,5.543231,7.813347,34.711109,30.877157,NaN,15.185746,0.73,3.168669,6.107108,8.328998,4.270607,23.626968,2.474018,24.920336,0.176772,5.51,5.958186,NaN,3.758161,NaN,NaN,9.005218,10.349147,8.072503,8.6,41.819664,2.133124,26.937551,20.794878,42.689365,19.559328,NaN,4.846065,3.523898,28.357271,45.746895,12.042024,8.179688,NaN,14.319244,8.258212,9.89,19.101452,NaN,NaN,NaN,4.43,24.836388,3.003246,NaN,15.499999,NaN,NaN,5.67959,10.370295,13.710684,9.764215,13.723886,6.838244,5.524122,13.618928,10.966027,NaN,6.768265,267.154358,12.776912,24.018002,2.38,7.535511,NaN,17.668118,12.978946,0.95,36.736305,5.97,NaN,10.95,7.997641,NaN,6.308392,4.02,NaN,3.83,17.120743,NaN,NaN,7.476283,13.462612,7.561102,23.460083,22.764107,27.42462,2.84,27.390913,10.623009,38.473568,2.382387,5.432156,1.095763,NaN,20.40823,NaN,4.643288,0.167442,NaN,NaN,NaN,22.750439,23.096712,11.208403,10.340426,0.391258,3.230309,5.25,26.634058,NaN,18.744301,8.083772,10.421551,NaN,NaN,5.635217,8.09877,5.351954,8.711221,14.579894,16.223747,NaN,4.44,3.21,5.897053,1.456312,NaN,9.674129,10.586549,9.870199,NaN,0.917482,20.483313,NaN,7.484474,8.817122,18.541309,6.125905,5.62117,5.419662,5.95425,6.730461,20.185047,8.610513,7.057311,NaN,NaN,20.128725,NaN,8.133668,NaN,21.412455,21.180828,9.317431,NaN,7.328874,35.191547,9.026607,17.428835,NaN,NaN,NaN,4.624203,12.312243,24.003731,2.208915,37.999939,5.316791,8.351242,2.35,21.280001,11.816456,28.243832,7.76,8.851976,12.840444,5.849319,NaN,8.713872,18.913868,23.725367,5.309426,NaN,10.886142,11.41604,NaN,NaN,25.763865,20.318943,8.7,NaN,NaN,9.531199,17.876316,NaN,16.473019,0.914768,NaN,0.181124,11.989271,8.85439,48.407421,6.763341,9.063803,NaN,7.900711,25.141899,9.217653,NaN
2009-08-01,NaN,33.412365,1.69,NaN,16.033447,NaN,56.651653,9.00477,6.328063,9.60204,11.236342,NaN,2.469439,8.554651,11.250762,2.137216,4.42,5.989362,4.343626,1.904237,11.785032,80.349998,3.532176,NaN,6.162756,16.738394,25.610991,10.937162,NaN,5.942342,7.695091,34.055698,31.190342,NaN,16.526731,0.7,3.203815,7.533521,8.437816,5.737118,22.468027,2.360393,24.524635,0.19618,5.46,5.610262,NaN,4.249588,NaN,NaN,9.830033,13.626155,8.221835,9.31,40.5205,2.036048,26.084833,21.005247,46.717674,20.646198,12.043923,4.818141,3.85378,30.075891,48.491879,12.32498,8.738189,NaN,14.563273,9.772149,10.2,23.028715,NaN,NaN,NaN,4.9,24.526899,2.791217,NaN,14.0,NaN,NaN,6.094108,10.820344,13.87118,10.036763,13.463828,6.683014,5.532959,13.391861,10.778113,NaN,7.527728,303.138763,11.544629,25.151943,2.23,8.145371,NaN,17.286444,12.573356,1.17,35.816704,7.02,NaN,11.32,10.041583,NaN,9.802166,4.37,NaN,4.5,17.160408,NaN,NaN,7.907249,15.223411,8.138838,21.817141,22.687197,26.376686,2.76,24.900829,11.832286,35.10323,2.972533,5.352379,1.520478,NaN,19.956848,NaN,4.894456,0.293023,NaN,NaN,NaN,22.118479,24.395304,10.745315,11.529706,0.495594,3.619503,4.95,26.078289,NaN,16.143309,8.119111,9.484566,NaN,NaN,6.743476,8.864253,5.200783,9.609146,15.920103,17.156244,NaN,4.27,3.72,5.885084,1.480583,NaN,9.683942,11.632127,10.128779,NaN,0.812354,22.20932,NaN,10.763384,8.326921,18.858253,6.096311,5.749969,6.022252,5.769812,9.519998,19.484184,8.891741,7.853982,NaN,NaN,19.349348,NaN,8.595711,NaN,22.823351,21.329439,10.194254,NaN,7.18405,39.134029,10.699758,21.562323,NaN,NaN,NaN,4.438848,12.281899,21.122242,2.131409,38.735519,5.81218,9.777617,2.35,20.0,12.357534,27.149414,9.1,9.663174,12.756673,6.667232,NaN,9.204029,20.703829,22.110205,5.931388,NaN,11.290269,11.883592,NaN,NaN,25.86754,21.618713,12.12,NaN,NaN,10.040277,17.642042,NaN,16.802708,1.219691,NaN,0.214056,11.515115,10.352827,47.046978,7.042242,10.387321,NaN,8.284549,25.649805,9.038151,NaN
